,channel,position,unit
1096,1,30694,[43]
1097,1,30792,[20]
1098,1,30804,[2]
1099,1,30847,[36]
1100,1,30924,[8]
1101,1,31065,[6]
1102,1,31094,[22]
1103,1,31143,[46]
1104,1,31176,[44]
1105,1,31188,[18]
1106,1,31235,[17]
1107,1,31248,[13]
1108,1,31325,[6]
1109,1,31356,[28]
1110,1,31367,[13]
1111,1,31382,[37]
1112,1,31445,[6]
1113,1,31498,[2]
1114,1,31615,[8]
1115,1,31736,[37]
1116,1,31806,[2]
1117,1,31867,[12]
1118,1,31929,[38]
1119,1,31941,[9]
1120,1,31999,[33]
1121,1,32034,[38]
1122,1,32079,[37]
1123,1,32143,[22]
1124,1,32185,[20]
1125,1,32227,[30]
1126,1,32290,[24]
1127,1,32320,[39]
1128,1,32422,[21]
1129,1,32456,[8]
1130,1,32535,[37]
1131,1,32582,[39]
1132,1,32640,[20]
1133,1,32664,[37]
1134,1,32695,[42]
1135,1,32753,[1]
1136,1,32808,[16]
1137,1,32908,[28]
1138,1,32930,[22]
1139,1,32982,[14]
1140,1,33070,[37]
1141,1,33125,[8]
1142,1,33252,[20]
1143,1,33280,[6]
1144,1,33455,[1]
1145,1,33472,[6]
1146,1,33560,[15]
1147,1,33585,[12]
1148,1,33640,[6]
1149,1,33706,[17]
1150,1,33724,[43]
1151,1,33799,[12]
1152,1,33842,[21]
1153,1,33971,[5]
1154,1,34003,[17]
1155,1,34073,[48]
1156,1,34089,[1]
1157,1,34102,[12]
1158,1,34220,[5]
1159,1,34255,[42]
1160,1,34286,[20]
1161,1,34304,[2]
1162,1,34356,[14]
1163,1,34388,[22]
1164,1,34434,[46]
1165,1,34473,[8]
1166,1,34516,[21]
1167,1,34591,[6]
1168,1,34646,[28]
1169,1,34721,[2]
1170,1,34798,[4]
1171,1,34942,[39]
1172,1,34968,[7]
1173,1,35002,[37]
1174,1,35060,[30]
1175,1,35106,[4]
1176,1,35138,[21]
1177,1,35184,[24]
1178,1,35289,[32]
1179,1,35312,[44]
1180,1,35343,[37]
1181,1,35479,[1]
1182,1,35494,[30]
1183,1,35565,[47]
1184,1,35657,[20]
1185,1,35749,[11]
1186,1,35773,[37]
1187,1,35844,[33]
1188,1,35886,[25]
1189,1,35994,[42]
1190,1,36009,[18]
1191,1,36031,[24]
1192,1,36059,[42]
1193,1,36364,[22]
1194,1,36434,[20]
1195,1,36455,[1]
1196,1,36521,[42]
1197,1,36559,[20]
1198,1,36582,[22]
1199,1,36598,[6]
1200,1,36699,[43]
1201,1,36814,[21]
1202,1,36959,[44]
1203,1,36971,[43]
1204,1,37112,[48]
1205,1,37173,[12]
1206,1,37322,[25]
1207,1,37386,[43]
1208,1,37444,[17]
1209,1,37462,[13]
1210,1,37520,[30]
1211,1,37595,[33]
1212,1,37630,[17]
1213,1,37657,[46]
1214,1,37682,[46]
1215,1,37807,[22]
1216,1,37864,[9]
1217,1,37898,[29]
1218,1,37923,[12]
1219,1,38002,[43]
1220,1,38068,[30]
1221,1,38111,[17]
1222,1,38225,[43]
1223,1,38296,[22]
1224,1,38390,[37]
1225,1,38476,[46]
1226,1,38583,[21]
1227,1,38617,[0]
1228,1,38705,[28]
1229,1,38731,[37]
1230,1,38763,[20]
1231,1,38852,[1]
1232,1,38985,[14]
1233,1,39017,[33]
1234,1,39115,[37]
1235,1,39165,[20]
1236,1,39253,[24]
1237,1,39337,[20]
1238,1,39358,[5]
1239,1,39456,[12]
1240,1,39516,[7]
1241,1,39551,[1]
1242,1,39682,[6]
1243,1,39719,[2]
